county,id,sh_usfr_within_50miles,sh_usfr_within_100miles,sh_usfr_within_500miles
13291,530,0.56,0.68,0.87
13293,531,0.71,0.82,0.92
13295,532,0.7,0.76,0.9
13297,533,0.63,0.69,0.84
13299,534,0.57,0.69,0.9
13301,535,0.7,0.81,0.94
13303,536,0.66,0.79,0.94
13305,537,0.61,0.7,0.89
13307,538,0.62,0.72,0.91
13309,539,0.63,0.76,0.93
13311,540,0.62,0.73,0.9
13313,541,0.7,0.77,0.89
13315,542,0.62,0.71,0.91
13317,543,0.64,0.78,0.92
13319,544,0.68,0.78,0.92
13321,545,0.69,0.76,0.93
15001,546,0.43,0.43,0.58
15003,547,0.46,0.46,0.5
15005,548,0.37,0.58,0.63
15007,549,0.41,0.41,0.56
15009,550,0.43,0.43,0.55
16001,551,0.47,0.49,0.73
16003,552,0.27,0.49,0.71
16005,553,0.44,0.53,0.77
16007,554,0.51,0.63,0.86
16009,555,0.6,0.65,0.81
16011,556,0.54,0.58,0.8
16013,557,0.34,0.39,0.65
16015,558,0.41,0.51,0.72
16017,559,0.41,0.48,0.66
16019,560,0.47,0.52,0.76
16021,561,0.35,0.48,0.66
16023,562,0.25,0.53,0.78
16025,563,0.27,0.5,0.72
16027,564,0.52,0.55,0.77
16029,565,0.49,0.58,0.83
16031,566,0.45,0.55,0.82
16033,567,0.31,0.52,0.78
16035,568,0.26,0.55,0.78
16037,569,0.24,0.3,0.76
16039,570,0.34,0.41,0.57
16041,571,0.57,0.65,0.85
16043,572,0.41,0.57,0.81
16045,573,0.56,0.58,0.78
16047,574,0.47,0.57,0.79
16049,575,0.29,0.49,0.78
16051,576,0.5,0.56,0.8
16053,577,0.5,0.52,0.79
16055,578,0.5,0.54,0.7
16057,579,0.35,0.44,0.74
16059,580,0.33,0.35,0.71
16061,581,0.4,0.53,0.79
16063,582,0.35,0.52,0.79
16065,583,0.26,0.28,0.59
16067,584,0.48,0.58,0.81
16069,585,0.51,0.63,0.83
16071,586,0.39,0.63,0.84
16073,587,0.13,0.56,0.79
16075,588,0.48,0.59,0.8
16077,589,0.49,0.57,0.79
16079,590,0.54,0.62,0.78
16081,591,0.35,0.38,0.6
16083,592,0.42,0.48,0.79
16085,593,0.21,0.45,0.68
16087,594,0.35,0.57,0.79
17001,595,0.61,0.69,0.88
17003,596,0.58,0.63,0.89
17005,597,0.61,0.71,0.88
17007,598,0.61,0.73,0.84
17009,599,0.69,0.79,0.91
17011,600,0.61,0.72,0.87
17013,601,0.78,0.83,0.92
17015,602,0.63,0.72,0.87
17017,603,0.65,0.75,0.88
17019,604,0.41,0.47,0.81
17021,605,0.68,0.79,0.91
17023,606,0.67,0.75,0.9
17025,607,0.68,0.79,0.92
17027,608,0.7,0.79,0.91
17029,609,0.5,0.58,0.89
17031,610,0.63,0.66,0.79
17033,611,0.63,0.69,0.88
17035,612,0.69,0.77,0.91
17037,613,0.45,0.71,0.85
17039,614,0.65,0.71,0.88
17041,615,0.63,0.71,0.88
17043,616,0.62,0.65,0.79
17045,617,0.7,0.77,0.91
17047,618,0.69,0.77,0.92
17049,619,0.63,0.74,0.9
17051,620,0.66,0.78,0.91
17053,621,0.61,0.73,0.87
17055,622,0.7,0.77,0.91
17057,623,0.69,0.76,0.9
17059,624,0.72,0.79,0.93
17061,625,0.74,0.79,0.91
17063,626,0.59,0.74,0.86
17065,627,0.7,0.79,0.93
17067,628,0.63,0.71,0.88
17069,629,0.69,0.76,0.92
17071,630,0.65,0.73,0.88
17073,631,0.62,0.7,0.87
17075,632,0.61,0.73,0.87
17077,633,0.38,0.47,0.86
17079,634,0.68,0.78,0.93
17081,635,0.63,0.72,0.9
17083,636,0.72,0.76,0.87
17085,637,0.59,0.7,0.87
17087,638,0.66,0.72,0.9
